Id,MSSubClass,LotArea,OverallQual,OverallCond,YearBuilt,GrLivArea,1stFlrSF,2ndFlrSF,GrLivArea.1,FullBath,HalfBath,GarageCars,SalePrice
1,60,8450,7,5,2003,1710,856,854,1710,2,1,2,208500
2,20,9600,6,8,1976,1262,1262,0,1262,2,0,2,181500
3,60,11250,7,5,2001,1786,920,866,1786,2,1,2,223500
4,70,9550,7,5,1915,1717,961,756,1717,1,0,3,140000
5,60,14260,8,5,2000,2198,1145,1053,2198,2,1,3,250000
6,50,14115,5,5,1993,1362,796,566,1362,1,1,2,143000
7,20,10084,8,5,2004,1694,1694,0,1694,2,0,2,307000
8,60,10382,7,6,1973,2090,1107,983,2090,2,1,2,200000
9,50,6120,7,5,1931,1774,1022,752,1774,2,0,2,129900
10,190,7420,5,6,1939,1077,1077,0,1077,1,0,1,118000
11,20,11200,5,5,1965,1040,1040,0,1040,1,0,1,129500
12,60,11924,9,5,2005,2324,1182,1142,2324,3,0,3,345000
13,20,12968,5,6,1962,912,912,0,912,1,0,1,144000
14,20,10652,7,5,2006,1494,1494,0,1494,2,0,3,279500
15,20,10920,6,5,1960,1253,1253,0,1253,1,1,1,157000
16,45,6120,7,8,1929,854,854,0,854,1,0,2,132000
17,20,11241,6,7,1970,1004,1004,0,1004,1,0,2,149000
18,90,10791,4,5,1967,1296,1296,0,1296,2,0,2,90000
19,20,13695,5,5,2004,1114,1114,0,1114,1,1,2,159000
20,20,7560,5,6,1958,1339,1339,0,1339,1,0,1,139000
21,60,14215,8,5,2005,2376,1158,1218,2376,3,1,3,325300
22,45,7449,7,7,1930,1108,1108,0,1108,1,0,1,139400
23,20,9742,8,5,2002,1795,1795,0,1795,2,0,2,230000
24,120,4224,5,7,1976,1060,1060,0,1060,1,0,2,129900
25,20,8246,5,8,1968,1060,1060,0,1060,1,0,1,154000
26,20,14230,8,5,2007,1600,1600,0,1600,2,0,3,256300
27,20,7200,5,7,1951,900,900,0,900,1,0,2,134800
28,20,11478,8,5,2007,1704,1704,0,1704,2,0,3,306000
29,20,16321,5,6,1957,1600,1600,0,1600,1,0,1,207500
30,30,6324,4,6,1927,520,520,0,520,1,0,1,68500
31,70,8500,4,4,1920,1317,649,668,1317,1,0,1,40000
32,20,8544,5,6,1966,1228,1228,0,1228,1,1,1,149350
33,20,11049,8,5,2007,1234,1234,0,1234,2,0,2,179900
34,20,10552,5,5,1959,1700,1700,0,1700,1,1,2,165500
35,120,7313,9,5,2005,1561,1561,0,1561,2,0,2,277500
36,60,13418,8,5,2004,2452,1132,1320,2452,3,1,3,309000
37,20,10859,5,5,1994,1097,1097,0,1097,1,1,2,145000
38,20,8532,5,6,1954,1297,1297,0,1297,1,0,2,153000
39,20,7922,5,7,1953,1057,1057,0,1057,1,0,1,109000
40,90,6040,4,5,1955,1152,1152,0,1152,2,0,0,82000
41,20,8658,6,5,1965,1324,1324,0,1324,2,0,2,160000
42,20,16905,5,6,1959,1328,1328,0,1328,1,1,1,170000
43,85,9180,5,7,1983,884,884,0,884,1,0,2,144000
44,20,9200,5,6,1975,938,938,0,938,1,0,1,130250
45,20,7945,5,6,1959,1150,1150,0,1150,1,0,1,141000
46,120,7658,9,5,2005,1752,1752,0,1752,2,0,2,319900
47,50,12822,7,5,2003,2149,1518,631,2149,1,1,2,239686
48,20,11096,8,5,2006,1656,1656,0,1656,2,0,3,249700
49,190,4456,4,5,1920,1452,736,716,1452,2,0,0,113000
50,20,7742,5,7,1966,955,955,0,955,1,0,1,127000
51,60,13869,6,6,1997,1470,794,676,1470,2,0,2,177000
52,50,6240,6,6,1934,1176,816,0,1176,1,0,2,114500
53,90,8472,5,5,1963,816,816,0,816,1,0,2,110000
54,20,50271,9,5,1981,1842,1842,0,1842,0,1,3,385000
55,80,7134,5,5,1955,1360,1360,0,1360,1,0,2,130000
56,20,10175,6,5,1964,1425,1425,0,1425,2,0,2,180500
57,160,2645,8,5,1999,1739,983,756,1739,2,1,2,172500
58,60,11645,7,5,2004,1720,860,860,1720,2,1,2,196500
59,60,13682,10,5,2006,2945,1426,1519,2945,3,1,3,438780
60,20,7200,5,7,1972,780,780,0,780,1,0,1,124900
61,20,13072,6,5,2004,1158,1158,0,1158,1,1,2,158000
62,75,7200,5,7,1920,1111,581,530,1111,1,0,1,101000
63,120,6442,8,5,2006,1370,1370,0,1370,2,0,2,202500
64,70,10300,7,6,1921,1710,902,808,1710,2,0,2,140000
65,60,9375,7,5,1997,2034,1057,977,2034,2,1,2,219500
66,60,9591,8,5,2004,2473,1143,1330,2473,2,1,3,317000
67,20,19900,7,5,1970,2207,2207,0,2207,2,0,2,180000
68,20,10665,7,5,2003,1479,1479,0,1479,2,0,2,226000
69,30,4608,4,6,1945,747,747,0,747,1,0,1,80000
70,50,15593,7,4,1953,2287,1304,983,2287,2,0,2,225000
71,20,13651,7,6,1973,2223,2223,0,2223,2,0,2,244000
72,20,7599,4,6,1982,845,845,0,845,1,0,2,129500
73,60,10141,7,5,1998,1718,885,833,1718,2,1,2,185000
74,20,10200,5,7,1954,1086,1086,0,1086,1,0,2,144900
75,50,5790,3,6,1915,1605,840,765,1605,2,0,1,107400
76,180,1596,4,5,1973,988,526,462,988,1,0,1,91000
77,20,8475,4,7,1956,952,952,0,952,1,0,1,135750
78,50,8635,5,5,1948,1285,1072,213,1285,1,0,1,127000
79,90,10778,4,5,1968,1768,1768,0,1768,2,0,0,136500
80,50,10440,5,6,1910,1230,682,548,1230,1,1,2,110000
81,60,13000,6,6,1968,2142,1182,960,2142,2,1,1,193500
82,120,4500,6,5,1998,1337,1337,0,1337,2,0,2,153500
83,20,10206,8,5,2007,1563,1563,0,1563,2,0,3,245000
84,20,8892,5,5,1960,1065,1065,0,1065,1,1,2,126500
85,80,8530,7,5,1995,1474,804,670,1474,2,1,2,168500
86,60,16059,8,5,1991,2417,1301,1116,2417,2,1,2,260000
87,60,11911,6,5,2005,1560,684,876,1560,2,1,2,174000
88,160,3951,6,5,2009,1224,612,612,1224,2,1,2,164500
89,50,8470,3,2,1915,1526,1013,0,1526,1,0,0,85000
90,20,8070,4,5,1994,990,990,0,990,1,0,0,123600
91,20,7200,4,5,1950,1040,1040,0,1040,1,0,2,109900
92,20,8500,5,3,1961,1235,1235,0,1235,1,0,2,98600
93,30,13360,5,7,1921,964,964,0,964,1,0,2,163500
94,190,7200,6,6,1910,2291,1260,1031,2291,2,0,2,133900
95,60,9337,6,5,1997,1786,905,881,1786,2,1,2,204750
96,60,9765,6,8,1993,1470,680,790,1470,2,1,2,185000
97,20,10264,7,5,1999,1588,1588,0,1588,2,0,2,214000
98,20,10921,4,5,1965,960,960,0,960,1,0,1,94750
99,30,10625,5,5,1920,835,835,0,835,1,0,1,83000
100,20,9320,4,5,1959,1225,1225,0,1225,1,1,0,128950
101,20,10603,6,7,1977,1610,1610,0,1610,2,0,2,205000
102,60,9206,6,5,1985,1732,977,755,1732,2,1,2,178000
103,90,7018,5,5,1979,1535,1535,0,1535,2,0,2,118964
104,20,10402,7,5,2009,1226,1226,0,1226,2,0,3,198900
105,50,7758,7,4,1931,1818,1226,592,1818,1,1,1,169500
106,60,9375,8,5,2003,1992,1053,939,1992,2,1,2,250000
107,30,10800,4,7,1885,1047,1047,0,1047,1,0,1,100000
108,20,6000,5,5,1948,789,789,0,789,1,0,1,115000
109,50,8500,5,7,1919,1517,997,520,1517,2,0,0,115000
110,20,11751,6,6,1977,1844,1844,0,1844,2,0,2,190000
111,50,9525,6,4,1954,1855,1216,639,1855,2,0,1,136900
112,80,7750,7,5,2000,1430,774,656,1430,2,1,2,180000
113,60,9965,7,5,2007,2696,1282,1414,2696,2,1,3,383970
114,20,21000,6,5,1953,2259,2259,0,2259,2,0,2,217000
115,70,7259,6,8,1945,2320,1436,884,2320,2,1,1,259500
116,160,3230,6,5,1999,1458,729,729,1458,2,1,2,176000
117,20,11616,5,5,1962,1092,1092,0,1092,1,0,1,139000
118,20,8536,5,5,2006,1125,1125,0,1125,1,1,2,155000
119,60,12376,7,5,1990,3222,1699,1523,3222,3,0,3,320000
120,60,8461,6,5,2005,1456,728,728,1456,2,1,2,163990
121,80,21453,6,5,1969,988,988,0,988,1,0,2,180000
122,50,6060,4,5,1939,1123,772,351,1123,1,0,1,100000
123,20,9464,6,7,1958,1080,1080,0,1080,1,0,1,136000
124,120,7892,6,5,1993,1199,1199,0,1199,2,0,2,153900
125,20,17043,6,5,1979,1586,1586,0,1586,2,0,2,181000
126,190,6780,6,8,1935,754,520,0,754,1,0,0,84500
127,120,4928,6,5,1976,958,958,0,958,2,0,2,128000
128,45,4388,5,7,1930,840,840,0,840,1,0,0,87000
129,60,7590,6,5,1966,1348,660,688,1348,1,1,2,155000
130,20,8973,5,7,1958,1053,1053,0,1053,1,1,2,150000
131,60,14200,7,6,1966,2157,1216,941,2157,2,1,2,226000
132,60,12224,6,5,2000,2054,1022,1032,2054,2,1,2,244000
133,20,7388,5,6,1959,1327,1327,0,1327,1,0,2,150750
134,20,6853,8,5,2001,1296,1296,0,1296,2,0,2,220000
135,20,10335,5,6,1968,1721,1721,0,1721,2,1,2,180000
136,20,10400,7,6,1970,1682,1682,0,1682,2,0,2,174000
137,20,10355,5,5,1967,1214,1214,0,1214,2,0,1,143000
138,90,11070,7,5,1988,1959,1959,0,1959,3,0,3,171000
139,60,9066,8,5,1999,1852,1004,848,1852,2,1,3,230000
140,60,15426,6,5,1997,1764,928,836,1764,2,1,2,231500
141,20,10500,4,5,1971,864,864,0,864,1,0,0,115000
142,20,11645,7,5,2005,1734,1734,0,1734,2,0,2,260000
143,50,8520,5,4,1952,1385,910,475,1385,2,0,2,166000
144,20,10335,7,5,1999,1501,1501,0,1501,2,0,2,204000
145,90,9100,5,5,1963,1728,1728,0,1728,2,0,2,125000
146,160,2522,6,5,2004,1709,970,739,1709,2,0,2,130000
147,30,6120,5,7,1931,875,875,0,875,1,0,1,105000
148,60,9505,7,5,2001,2035,884,1151,2035,2,1,2,222500
149,20,7500,7,5,2004,1080,1080,0,1080,1,0,0,141000
150,50,6240,5,4,1936,1344,896,448,1344,1,0,1,115000
151,20,10356,5,6,1975,969,969,0,969,1,1,2,122000
152,20,13891,8,5,2007,1710,1710,0,1710,2,0,3,372402
153,60,14803,6,5,1971,1993,1097,896,1993,2,1,2,190000
154,20,13500,6,7,1960,1252,1252,0,1252,1,0,2,235000
155,30,11340,6,5,1923,1200,1200,0,1200,1,0,1,125000
156,50,9600,6,5,1924,1096,572,524,1096,1,0,0,79000
157,20,7200,5,7,1950,1040,1040,0,1040,1,0,2,109500
158,60,12003,8,5,2009,1968,774,1194,1968,2,1,3,269500
159,60,12552,7,5,2004,1947,991,956,1947,2,1,2,254900
160,60,19378,7,5,2005,2462,1392,1070,2462,2,1,2,320000
161,20,11120,6,6,1984,1232,1232,0,1232,2,0,2,162500
162,60,13688,9,5,2003,2668,1572,1096,2668,2,1,3,412500
163,20,12182,7,5,2005,1541,1541,0,1541,2,0,2,220000
164,45,5500,4,6,1956,882,882,0,882,1,0,0,103200
165,40,5400,6,7,1926,1616,1149,467,1616,2,0,1,152000
166,190,10106,5,7,1940,1355,808,547,1355,2,0,0,127500
167,20,10708,5,5,1955,1867,1867,0,1867,1,0,1,190000
168,60,10562,8,5,2007,2161,1610,551,2161,1,1,3,325624
169,60,8244,7,5,2004,1720,840,880,1720,2,1,2,183500
170,20,16669,8,6,1981,1707,1707,0,1707,2,1,2,228000
171,50,12358,5,6,1941,1382,854,0,1382,1,1,2,128500
172,20,31770,6,5,1960,1656,1656,0,1656,1,0,2,215000
173,160,5306,7,7,1987,1767,1064,703,1767,2,0,2,239000
174,20,10197,6,5,1961,1362,1362,0,1362,1,1,2,163000
175,20,12416,6,5,1986,1651,1651,0,1651,2,0,2,184000
176,20,12615,6,7,1950,2158,2158,0,2158,2,0,2,243000
177,60,10029,6,5,1988,2060,1164,896,2060,2,1,2,211000
178,50,13650,5,5,1958,1920,1252,668,1920,2,0,2,172500
179,20,17423,9,5,2008,2234,2234,0,2234,2,0,3,501837
180,30,8520,5,6,1923,968,968,0,968,1,0,2,100000
181,160,2117,6,5,2000,1525,769,756,1525,2,1,2,177000
182,70,7588,7,6,1920,1802,901,901,1802,1,1,1,200100
183,20,9060,5,6,1957,1340,1340,0,1340,1,0,1,120000
184,50,11426,7,5,2003,2082,1362,720,2082,2,1,2,200000
185,50,7438,5,8,1908,1252,936,316,1252,1,0,2,127000
186,75,22950,10,9,1892,3608,1518,1518,3608,2,1,3,475000
187,80,9947,7,5,1990,1217,1217,0,1217,2,0,2,173000
188,50,10410,5,7,1916,1656,808,704,1656,2,1,1,135000
189,90,7018,5,5,1979,1224,1224,0,1224,0,2,2,153337
190,120,4923,8,5,2001,1593,1593,0,1593,1,1,2,286000
191,70,10570,8,8,1932,2727,1549,1178,2727,2,1,2,315000
192,60,7472,7,9,1972,1479,725,754,1479,1,1,2,184000
193,20,9017,7,5,1999,1431,1431,0,1431,2,0,2,192000
194,160,2522,7,5,2004,1709,970,739,1709,2,0,2,130000
195,20,7180,5,7,1972,864,864,0,864,1,0,1,127000
196,160,2280,6,6,1976,1456,855,601,1456,2,1,2,148500
197,20,9416,7,5,2007,1726,1726,0,1726,2,0,3,311872
198,75,25419,8,4,1918,3112,1360,1360,3112,2,0,2,235000
199,75,5520,6,6,1912,2229,929,929,2229,1,0,0,104000
200,20,9591,8,5,2004,1713,1713,0,1713,2,0,3,274900
201,20,8546,4,5,2003,1121,1121,0,1121,2,0,2,140000
202,20,10125,6,6,1977,1279,1279,0,1279,2,0,2,171500
203,50,7000,6,6,1924,1310,865,445,1310,2,0,1,112000
204,120,4438,6,5,2004,848,848,0,848,1,0,2,149000
205,50,3500,5,7,1947,1284,720,564,1284,1,1,1,110000
206,20,11851,7,5,1990,1442,1442,0,1442,2,0,2,180500
207,20,13673,5,5,1962,1696,1696,0,1696,1,1,1,143900
208,20,12493,4,5,1960,1100,1100,0,1100,1,0,1,141000
209,60,14364,7,5,1988,2062,1180,882,2062,2,1,2,277000
210,20,8250,6,7,1964,1092,1092,0,1092,1,0,2,145000
211,30,5604,5,6,1925,864,864,0,864,1,0,0,98000
212,20,10420,6,5,2009,1212,1212,0,1212,2,0,2,186000
213,60,8640,7,5,2009,1852,932,920,1852,2,1,2,252678
214,20,13568,5,5,1995,990,990,0,990,1,0,2,156000
215,60,10900,6,7,1977,1392,689,703,1392,1,1,1,161750
216,20,10011,5,6,1957,1236,1236,0,1236,1,0,1,134450
217,20,8450,7,5,2004,1436,1436,0,1436,2,0,2,210000
218,70,9906,4,4,1925,1328,810,518,1328,1,0,1,107000
219,50,15660,7,9,1939,1954,1137,817,1954,1,1,2,311500
220,120,3010,7,5,2005,1248,1248,0,1248,2,0,2,167240
221,20,8990,7,5,2006,1498,1498,0,1498,2,0,2,204900
222,60,8068,6,5,2002,2267,1010,1257,2267,2,1,2,200000
223,60,11475,6,6,1975,1552,811,741,1552,2,1,2,179900
224,20,10500,4,6,1971,864,864,0,864,1,0,2,97000
225,20,13472,10,5,2003,2392,2392,0,2392,2,0,3,386250
226,160,1680,5,5,1971,1302,630,672,1302,2,1,1,112000
227,60,9950,7,5,1995,2520,1214,1306,2520,2,1,3,290000
228,160,1869,6,6,1970,987,483,504,987,1,1,1,106000
229,20,8521,5,5,1967,912,912,0,912,1,0,1,125000
230,120,3182,7,5,2005,1555,1555,0,1555,2,0,2,192500
231,20,8760,6,6,1959,1194,1194,0,1194,1,0,1,148000
232,60,15138,8,5,1995,2794,1490,1304,2794,2,1,3,403000
233,160,1680,6,5,1972,987,483,504,987,1,1,1,94500
234,20,10650,5,6,1976,894,894,0,894,1,0,1,128200
235,60,7851,6,5,2002,1960,860,1100,1960,2,1,2,216500
236,160,1680,6,3,1971,987,483,504,987,1,1,1,89500
237,20,8773,7,5,2004,1414,1414,0,1414,2,0,2,185500
238,60,9453,7,7,1993,1744,1014,730,1744,2,1,2,194500
239,20,12030,8,5,2007,1694,1694,0,1694,2,0,3,318000
240,50,8741,6,4,1945,1487,798,689,1487,1,1,1,113000
241,20,9000,8,5,2008,1566,1566,0,1566,2,0,2,262500
242,30,3880,5,9,1945,866,866,0,866,1,0,0,110500
243,50,5000,5,4,1900,1440,889,551,1440,1,0,1,79000
244,160,10762,6,6,1980,1217,626,591,1217,1,1,1,120000
245,60,8880,7,5,1994,2110,1222,888,2110,2,1,2,205000
246,20,10400,7,5,1988,1872,1872,0,1872,2,0,2,241500
247,190,9142,6,8,1910,1928,908,1020,1928,2,0,1,137000
248,20,11310,6,5,1954,1375,1375,0,1375,1,0,2,140000
249,60,11317,7,5,2003,1668,840,828,1668,2,1,2,180000
250,50,159000,6,7,1958,2144,1444,700,2144,2,0,2,277000
251,30,5350,3,2,1940,1306,1306,0,1306,1,0,0,76500
252,120,4750,8,5,2006,1625,1625,0,1625,2,0,2,235000
253,60,8366,6,5,2004,1640,798,842,1640,2,1,2,173000
254,80,9350,6,7,1964,1302,1302,0,1302,2,0,1,158000
255,20,8400,5,6,1957,1314,1314,0,1314,1,0,1,145000
256,60,8738,7,5,1999,2291,1005,1286,2291,2,1,2,230000
257,60,8791,6,5,2003,1728,864,864,1728,2,1,2,207500
258,20,8814,7,5,2006,1604,1604,0,1604,2,1,2,220000
259,60,12435,7,5,2001,1792,963,829,1792,2,1,2,231500
260,20,12702,5,5,1956,882,882,0,882,1,0,1,97000
261,80,19296,6,5,1962,1382,1382,0,1382,1,0,2,176000
262,60,9588,8,5,2007,2574,1482,1092,2574,2,1,3,276000
263,80,8471,6,7,1977,1212,1212,0,1212,1,0,2,151000
264,50,5500,5,7,1929,1316,926,0,1316,1,0,2,130000
265,30,5232,5,5,1925,764,764,0,764,1,0,2,73000
266,20,12090,6,6,1981,1422,1422,0,1422,2,0,2,175500
267,60,11207,6,5,1997,1511,802,709,1511,2,1,2,185000
268,75,8400,5,8,1939,2192,1052,720,2192,2,1,1,179500
269,30,6900,5,6,1940,778,778,0,778,1,0,1,120500
270,20,7917,6,7,1976,1113,1113,0,1113,1,1,1,148000
271,60,10728,8,5,2006,1939,1095,844,1939,2,1,3,266000
272,20,39104,7,7,1954,1363,1363,0,1363,1,0,2,241500
273,60,11764,8,7,1999,2270,1164,1106,2270,2,1,3,290000
274,20,9600,6,6,1958,1632,1632,0,1632,2,0,1,139000
275,20,8314,5,7,1982,816,816,0,816,1,0,1,124500
276,50,7264,7,7,1925,1548,952,596,1548,2,1,2,205000
277,20,9196,7,5,2003,1560,1560,0,1560,2,0,2,201000
278,20,19138,4,5,1951,864,864,0,864,1,0,2,141000
279,20,14450,9,5,2006,2121,2121,0,2121,2,1,3,415298
280,60,10005,7,5,1977,2022,1156,866,2022,2,1,2,192000
281,60,11287,7,6,1989,1982,1175,807,1982,2,1,2,228500
282,20,7200,6,5,2006,1262,1262,0,1262,2,0,2,185000
283,120,5063,7,5,2007,1314,1314,0,1314,2,0,2,207500
284,20,9612,8,5,2008,1468,1468,0,1468,2,0,3,244600
285,120,8012,6,5,1992,1575,1575,0,1575,2,0,2,179200
286,160,4251,7,5,2006,1250,625,625,1250,2,1,2,164700
287,50,9786,6,7,1962,1734,1085,649,1734,1,1,2,159000
288,20,8125,4,4,1971,858,858,0,858,1,0,0,88000
289,20,9819,5,5,1967,900,900,0,900,1,0,1,122000
290,70,8730,6,7,1915,1396,698,698,1396,1,0,1,153575
291,60,15611,8,5,2006,1919,1079,840,1919,2,1,2,233230
292,190,5687,5,6,1912,1716,936,780,1716,2,0,0,135900
293,50,11409,5,4,1949,1716,1148,568,1716,1,1,1,131000
294,60,16659,7,7,1977,2263,1468,795,2263,2,1,2,235000
295,20,9600,6,5,1953,1644,1644,0,1644,1,0,2,167000
296,80,7937,6,6,1984,1003,1003,0,1003,1,0,2,142500
297,50,13710,5,5,1950,1558,910,648,1558,1,1,1,152000
298,60,7399,7,5,1997,1950,975,975,1950,2,1,2,239000
299,60,11700,6,6,1968,1743,1041,702,1743,1,2,2,175000
300,20,14000,6,8,1950,1152,1152,0,1152,1,0,1,158500
301,190,15750,5,5,1953,1336,1336,0,1336,1,0,1,157000
302,60,16226,8,5,1998,2452,1210,1242,2452,2,1,2,267000
303,20,13704,7,5,2001,1541,1541,0,1541,2,0,3,205000
304,20,9800,5,7,1972,894,894,0,894,1,0,2,149900
305,75,18386,7,9,1880,3493,1675,1818,3493,3,0,3,295000
306,20,10386,8,5,2004,2000,2000,0,2000,2,0,3,305900
307,60,13474,7,5,1990,2243,1122,1121,2243,2,1,3,225000
308,50,7920,6,7,1920,1406,1035,371,1406,1,0,0,89500
309,30,12342,4,5,1940,861,861,0,861,1,0,2,82500
310,20,12378,9,5,2003,1944,1944,0,1944,2,0,3,360000
311,60,7685,6,5,1993,1501,697,804,1501,2,1,2,165600
312,20,8000,6,6,1948,972,972,0,972,1,0,1,132000
313,190,7800,5,7,1939,1118,793,325,1118,1,0,2,119900
314,20,215245,7,5,1965,2036,2036,0,2036,2,0,2,375000
315,70,9600,7,7,1925,1641,832,809,1641,1,1,2,178000
316,60,7795,7,5,2004,1432,716,716,1432,2,1,2,188500
317,60,13005,7,7,1980,2353,1153,1200,2353,2,1,2,260000
318,60,9000,8,5,2006,1959,1088,871,1959,2,1,3,270000
319,60,9900,7,5,1993,2646,1372,1274,2646,2,1,3,260000
320,80,14115,7,5,1980,1472,1472,0,1472,2,0,2,187500
321,60,16259,9,5,2006,2596,1249,1347,2596,3,1,3,342643
322,60,12099,8,5,2004,2468,1136,1332,2468,2,1,3,354000
323,60,10380,7,5,1986,2730,1553,1177,2730,2,1,2,301000
324,20,5820,3,8,1955,1163,1163,0,1163,1,0,1,126175
325,80,11275,7,7,1967,2978,1898,1080,2978,2,1,2,242000
326,45,5000,5,6,1941,803,803,0,803,1,0,2,87000
327,120,10846,8,5,1993,1719,1719,0,1719,1,1,2,324000
328,20,11600,6,5,1960,1383,1383,0,1383,1,1,1,145250
329,75,11888,6,6,1916,2134,1445,689,2134,2,0,2,214500
330,70,6402,5,5,1920,1192,596,596,1192,1,0,1,78000
331,90,10624,5,4,1964,1728,1728,0,1728,2,0,1,119000
332,20,8176,5,6,1958,1056,1056,0,1056,1,0,1,139000
333,20,10655,8,5,2003,1629,1629,0,1629,2,0,3,284000
334,120,8198,7,5,2004,1358,1358,0,1358,2,0,2,207000
335,60,9042,6,5,1998,1638,943,695,1638,2,1,2,192000
336,190,164660,5,6,1965,1786,1619,167,1786,2,0,2,228950
337,20,14157,9,5,2005,1922,1922,0,1922,2,0,3,377426
338,20,9135,7,5,2002,1536,1536,0,1536,2,0,2,214000
339,20,14145,7,7,1984,1621,1621,0,1621,2,0,2,202500
340,20,12400,6,7,1958,1215,1215,0,1215,1,0,1,155000
341,60,14191,8,5,2002,1908,993,915,1908,2,1,2,202900
342,20,8400,4,4,1950,841,841,0,841,1,0,1,82000
343,90,8544,3,4,1949,1040,1040,0,1040,2,0,2,87500
344,120,8849,9,5,2005,1684,1684,0,1684,2,0,2,266000
345,160,2592,5,3,1976,1112,536,576,1112,1,1,1,85000
346,50,6435,6,5,1939,1577,972,605,1577,1,0,1,140200
347,20,12772,6,8,1960,958,958,0,958,1,0,1,151500
348,20,17600,6,5,1960,1478,1478,0,1478,2,0,2,157500
349,160,2448,7,5,2003,1626,764,862,1626,2,1,2,154000
350,60,20431,9,5,2005,2728,1848,880,2728,2,1,3,437154
351,120,7820,9,5,2007,1869,1869,0,1869,2,0,2,318061
352,120,5271,7,5,1986,1453,1453,0,1453,1,1,2,190000
353,50,9084,5,6,1941,1111,616,495,1111,1,0,1,95000
354,30,8520,6,8,1928,720,720,0,720,1,0,2,105900
355,50,8400,6,5,1940,1595,1192,403,1595,1,0,1,140000
356,20,11249,6,5,1995,1200,1200,0,1200,2,0,2,177500
357,20,9248,6,6,1992,1167,1167,0,1167,2,0,2,173000
358,120,4224,5,5,1976,1142,1142,0,1142,1,1,2,134000
359,80,6930,5,4,1958,1352,1352,0,1352,1,0,1,130000
360,60,12011,8,5,1998,1924,1086,838,1924,2,1,2,280000
361,85,7540,6,6,1978,912,912,0,912,1,0,2,156000
362,50,9144,5,5,1940,1505,988,517,1505,1,0,1,145000
363,85,7301,7,5,2003,1922,495,1427,1922,3,0,2,198500
364,160,1680,6,8,1972,987,483,504,987,1,1,1,118000
365,60,18800,6,5,1976,1574,790,784,1574,2,1,2,190000
366,70,10690,5,7,1920,1344,672,672,1344,1,0,1,147000
